"","country","ISO3","continent","subcontinent","status","expenditure","youth_unempl_rate","net_migr_rate","low_yu","high_nmr"
"27","Botswana","BWA","Africa","Sub-Saharan Africa","UM",.,36,2.9,"no","yes"
"28","Brazil","BRA","Americas","Latin America and the Caribbean","UM",6.3,28.5,-0.1,"no","no"
"29","British Virgin Islands","VGB","Americas","Latin America and the Caribbean","H",2.5,.,15.5,.,"yes"
"30","Brunei","BRN","Asia","South-eastern Asia","H",4.4,28.9,2.3,"no","yes"
"31","Bulgaria","BGR","Europe","Eastern Europe","UM",4.1,12.7,-0.3,"no","no"
"32","Burkina Faso","BFA","Africa","Sub-Saharan Africa","L",5.4,8.7,-0.6,"no","no"
"33","Burma","MMR","Asia","South-eastern Asia","LM",1.9,2,-1.4,"yes","no"
"34","Burundi","BDI","Africa","Sub-Saharan Africa","L",5.1,2.9,-0.8,"yes","no"
"35","Cabo Verde","CPV","Africa","Sub-Saharan Africa","LM",5.2,27.8,-0.6,"no","no"
"36","Cambodia","KHM","Asia","South-eastern Asia","LM",2.2,1.1,-0.3,"yes","no"
"37","Cameroon","CMR","Africa","Sub-Saharan Africa","LM",3.1,6.3,-0.3,"yes","no"
"38","Canada","CAN","Americas","Northern America","H",5.3,11.1,5.6,"no","yes"
"39","Cayman Islands","CYM","Americas","Latin America and the Caribbean","H",.,13.8,13,"no","yes"
"40","Central African Republic","CAF","Africa","Sub-Saharan Africa","L",1.2,.,0,.,"yes"
"41","Chad","TCD","Africa","Sub-Saharan Africa","L",2.5,.,-0.1,.,"no"
"42","Chile","CHL","Americas","Latin America and the Caribbean","H",5.4,18.1,0.3,"no","no"
"43","China","CHN","Asia","Eastern Asia","UM",.,.,-0.4,.,"no"
"44","Colombia","COL","Americas","Latin America and the Caribbean","UM",4.5,18.5,-0.6,"no","no"
"45","Comoros","COM","Africa","Sub-Saharan Africa","LM",2.5,19.5,-2.3,"no","no"
"46","Congo, Democratic Republic of the","COD","Africa","Sub-Saharan Africa","L",1.5,8.7,-0.9,"no","no"
"47","Congo, Republic of the","COG","Africa","Sub-Saharan Africa","LM",3.5,.,-0.9,.,"no"
"48","Cook Islands","COK","Oceania","Polynesia",.,4.7,.,-29.9,.,"no"
"49","Costa Rica","CRI","Americas","Latin America and the Caribbean","UM",7,20.6,0.8,"no","yes"
"50","Cote d'Ivoire","CIV","Africa","Sub-Saharan Africa","LM",3.3,5.5,1.2,"yes","yes"
"51","Croatia","HRV","Europe","Southern Europe","H",3.9,23.7,-1,"no","no"
"52","Cuba","CUB","Americas","Latin America and the Caribbean","UM",12.8,6.1,-3.7,"yes","no"
"53","Curacao","CUW","Americas","Latin America and the Caribbean","H",4.9,29.3,-1.3,"no","no"
"54","Cyprus","CYP","Asia","Western Asia","H",5.8,20.2,7.6,"no","yes"
"55","Czechia","CZE","Europe","Eastern Europe","H",3.9,6.7,2.3,"yes","no"
"56","Denmark","DNK","Europe","Northern Europe","H",7.8,9.4,2.8,"yes","no"
"57","Djibouti","DJI","Africa","Sub-Saharan Africa","LM",3.6,.,5.1,.,"yes"
"58","Dominica","DMA","Americas","Latin America and the Caribbean","UM",5.6,.,-5.3,.,"no"
"59","Dominican Republic","DOM","Americas","Latin America and the Caribbean","UM",.,13.5,-2.7,"no","no"
"60","Ecuador","ECU","Americas","Latin America and the Caribbean","UM",5,7.9,0,"yes","no"
"61","Egypt","EGY","Africa","Northern Africa","LM",.,29.6,-0.3,"no","no"
"62","El Salvador","SLV","Americas","Latin America and the Caribbean","LM",3.6,9.6,-4.8,"yes","no"
"63","Equatorial Guinea","GNQ","Africa","Sub-Saharan Africa","UM",.,.,0,.,"yes"
"64","Eritrea","ERI","Africa","Sub-Saharan Africa","L",.,.,-11.6,.,"no"
"65","Estonia","EST","Europe","Northern Europe","H",5,11.8,-3.1,"no","no"
"66","Eswatini","SWZ","Africa","Sub-Saharan Africa","LM",7.1,47.1,-6.8,"no","no"
"67","Ethiopia","ETH","Africa","Sub-Saharan Africa","L",4.7,25.2,-0.2,"no","no"
"68","Faroe Islands","FRO","Europe","Northern Europe","H",.,.,0,.,"no"
"69","Fiji","FJI","Oceania","Melanesia","UM",3.9,15.4,-6.2,"no","no"
"70","Finland","FIN","Europe","Northern Europe","H",6.4,17,2.6,"no","no"
"71","France","FRA","Europe","Western Europe","H",5.5,20.8,1.1,"no","no"
"72","French Polynesia","PYF","Oceania","Polynesia","H",.,56.7,-0.7,"no","yes"
